,host_verifications,host_response_rate,host_acceptance_rate,host_is_superhost,latitude,longitude,accommodates,amenities,minimum_nights,beds,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,host_number_of_years,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,closeness_to_landmark,closeness_to_subway
1588,4,100,99,0,42.36112,-71.13064,2,17,1,1.0,0.0,0.0,0.0,0.0,78,4.6,4.59,4.69,4.77,4.62,4.74,4.5,0,99,7.191780821917808,0,0,0,1,0,0,1,0,2.2480804188406958,2.2804290863344177
1589,4,100,99,0,42.36013,-71.13264,2,18,1,1.0,0.0,0.0,0.0,0.0,79,4.73,4.84,4.73,4.86,4.84,4.82,4.58,0,99,7.191780821917808,0,0,0,1,0,0,1,0,2.3994078420126828,2.452908282073483
1594,2,100,100,1,42.34293,-71.16773,1,20,29,1.0,0.1,0.55,0.7,0.1726027397260274,38,5.0,5.0,5.0,4.97,5.0,4.92,5.0,0,60,2.2,0,1,0,0,0,0,1,0,5.401774414995747,5.639687153565557
1595,6,100,100,1,42.35241,-71.13891,4,31,45,2.0,0.5666666666666667,0.7666666666666667,0.8444444444444444,0.43561643835616437,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,185,9.202739726027398,0,0,1,0,1,0,0,0,3.061865110722353,3.3335985492391744
1596,7,100,97,1,42.28986,-71.06925,2,37,2,1.0,0.16666666666666666,0.13333333333333333,0.18888888888888888,0.18356164383561643,107,4.93,4.99,4.97,5.0,5.0,4.91,4.91,0,89,4.695890410958904,0,0,0,1,0,0,1,0,5.107808411034486,0.7946772958270897
1598,4,100,79,1,42.3175,-71.05873,8,33,2,6.0,0.3333333333333333,0.38333333333333336,0.5666666666666667,0.1506849315068493,44,4.84,4.77,4.93,4.98,4.86,4.91,4.77,0,228,2.1671232876712327,0,0,0,1,1,0,0,0,3.3024023275965546,0.6801915569172078
1599,2,99,100,0,42.35104,-71.0697,2,28,1,2.0,0.9333333333333333,0.9666666666666667,0.9444444444444444,0.873972602739726,1,4.0,4.0,5.0,5.0,5.0,5.0,4.0,1,286,2.3972602739726026,0,0,0,1,0,1,0,0,0.6034754768187215,0.5704455259152076
1602,4,100,93,0,42.38349,-71.06744,4,38,2,2.0,0.06666666666666667,0.11666666666666667,0.24444444444444444,0.30684931506849317,25,4.8,4.84,4.68,4.88,4.88,4.76,4.72,0,349,5.082191780821918,0,0,1,0,1,0,0,0,1.6794832164654165,1.0310354432820015
1603,4,97,92,0,42.32504,-71.09557,1,27,30,1.0,0.0,0.0,0.2777777777777778,0.3150684931506849,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,50,10.005479452054795,0,0,0,1,0,0,1,0,1.9019144491736968,0.6911541373646853
1604,4,100,86,1,42.35923,-71.06602,4,9,30,2.0,0.0,0.0,0.0,0.2821917808219178,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,90,3.1397260273972605,0,0,0,1,1,0,0,0,0.13892333849961275,0.4366081160790316
