date,adjusted_price,date2,holiday_3_days,holiday,days_from_a_holiday,diff
2022-01-21,189.81038448899113,2022-01-21,True,Martin Luther King Jr. Day,-4,17.91133812266426
2022-02-17,185.08642786723627,2022-02-17,True,Washington's Birthday,4,13.187381500909396
2022-02-18,193.54058494906343,2022-02-18,True,Washington's Birthday,3,21.64153858273656
2022-02-19,194.41505093657574,2022-02-19,True,Washington's Birthday,2,22.516004570248867
2022-02-20,187.1363785737759,2022-02-20,True,Washington's Birthday,1,15.237332207449015
2022-02-21,184.5488005257969,2022-02-21,True,Washington's Birthday,0,12.649754159470035
2022-02-22,184.0657246138679,2022-02-22,True,Washington's Birthday,-1,12.166678247541029
2022-02-23,184.44824186657902,2022-02-23,True,Washington's Birthday,-2,12.549195500252154
2022-02-24,186.0315478146566,2022-02-24,True,Washington's Birthday,-3,14.13250144832972
2022-02-25,193.49260598093986,2022-02-25,True,Washington's Birthday,-4,21.593559614612985
2022-03-13,189.97633913900756,2022-03-13,True,Evacuation Day,4,18.077292772680693
2022-03-14,188.76897798225434,2022-03-14,True,Evacuation Day,3,16.86993161592747
2022-03-15,188.6026947091686,2022-03-15,True,Evacuation Day,2,16.703648342841717
2022-03-16,200.88301018731514,2022-03-16,True,Evacuation Day,1,28.983963820988265
2022-03-17,206.72198488333882,2022-03-17,True,Evacuation Day,0,34.82293851701195
2022-03-18,213.09267170555373,2022-03-18,True,Evacuation Day,-1,41.193625339226855
2022-03-19,216.41472231350642,2022-03-19,True,Evacuation Day,-2,44.515675947179545
2022-03-20,189.08774235951364,2022-03-20,True,Evacuation Day,-3,17.18869599318677
2022-03-21,188.15609595793626,2022-03-21,True,Evacuation Day,-4,16.257049591609388
2022-04-14,214.50607952678277,2022-04-14,True,Patriots' Day,4,42.6070331604559
2022-04-15,238.78212290502793,2022-04-15,True,Patriots' Day,3,66.88307653870106
2022-04-16,243.4945777193559,2022-04-16,True,Patriots' Day,2,71.59553135302903
2022-04-17,228.911929017417,2022-04-17,True,Patriots' Day,1,57.01288265109014
2022-04-18,227.15445284258956,2022-04-18,True,Patriots' Day,0,55.25540647626269
2022-04-19,202.62306933946763,2022-04-19,True,Patriots' Day,-1,30.724022973140762
2022-04-20,201.53138350312193,2022-04-20,True,Patriots' Day,-2,29.63233713679506
2022-04-21,203.00985869208017,2022-04-21,True,Patriots' Day,-3,31.1108123257533
2022-04-22,212.99145580019717,2022-04-22,True,Patriots' Day,-4,41.0924094338703
2022-05-26,210.28853105488005,2022-05-26,True,Memorial Day,4,38.38948468855318
2022-05-27,223.1856720341768,2022-05-27,True,Memorial Day,3,51.28662566784993
2022-05-28,221.7942819585935,2022-05-28,True,Memorial Day,2,49.89523559226663
2022-05-29,209.6661189615511,2022-05-29,True,Memorial Day,1,37.76707259522422
2022-05-30,204.17186986526454,2022-05-30,True,Memorial Day,0,32.27282349893767
2022-05-31,204.50410778836675,2022-05-31,True,Memorial Day,-1,32.60506142203988
2022-06-01,204.8692080184029,2022-06-01,True,Memorial Day,-2,32.97016165207603
2022-06-02,207.10581662832732,2022-06-02,True,Memorial Day,-3,35.20677026200045
2022-06-03,217.00065724613867,2022-06-03,True,Memorial Day,-4,45.1016108798118
2022-06-15,209.73743016759778,2022-06-15,True,Juneteenth National Independence Day,4,37.83838380127091
2022-06-16,209.74301675977654,2022-06-16,True,Juneteenth National Independence Day,3,37.843970393449666
2022-06-17,217.8202431810713,2022-06-17,True,Juneteenth National Independence Day,2,45.921196814744434
2022-06-18,219.6835359842261,2022-06-18,True,Juneteenth National Independence Day,1,47.784489617899226
2022-06-19,208.499507065396,2022-06-19,True,Juneteenth National Independence Day,0,36.60046069906912
2022-06-20,208.11896155110088,2022-06-20,True,Juneteenth National Independence Day,-1,36.21991518477401
2022-06-21,208.18271442655274,2022-06-21,True,Juneteenth National Independence Day,-2,36.283668060225864
2022-06-22,207.9875123233651,2022-06-22,True,Juneteenth National Independence Day,-3,36.08846595703824
2022-06-23,210.052251068025,2022-06-23,True,Juneteenth National Independence Day,-4,38.153204701698115
2022-06-30,209.18994413407822,2022-06-30,True,Independence Day,4,37.290897767751346
2022-07-01,244.19224449556359,2022-07-01,True,Independence Day,3,72.29319812923671
2022-07-02,244.49852119618797,2022-07-02,True,Independence Day,2,72.5994748298611
2022-07-03,241.40973364024993,2022-07-03,True,Independence Day,1,69.51068727392305
2022-07-04,241.91910555738244,2022-07-04,True,Independence Day,0,70.02005919105557
2022-07-05,239.24136797106215,2022-07-05,True,Independence Day,-1,67.34232160473528
2022-07-06,238.99013482407102,2022-07-06,True,Independence Day,-2,67.09108845774415
2022-07-07,239.86912199934233,2022-07-07,True,Independence Day,-3,67.97007563301545
2022-07-08,246.55146333442946,2022-07-08,True,Independence Day,-4,74.65241696810259
